HG02330,Africa
HG02465,Africa
HG02646,Africa
HG02804,Africa
HG02861,Africa
HG03024,Africa
HG03054,Africa
HG03060,Africa
HG03109,Africa
HG03385,Africa
HG03458,Africa
HG03472,Africa
NA18510,Africa
NA18909,Africa
NA19023,Africa
NA19024,Africa
NA19107,Africa
NA19152,Africa
NA19700,Africa
NA20278,Africa
HG00120,Europe
HG00185,Europe
HG00188,Europe
HG00231,Europe
HG00242,Europe
HG00313,Europe
HG00342,Europe
HG00343,Europe
HG00358,Europe
HG01628,Europe
HG01673,Europe
HG01679,Europe
HG01685,Europe
NA10847,Europe
NA11830,Europe
NA12046,Europe
NA12751,Europe
NA20518,Europe
NA20542,Europe
NA20802,Europe
HG00742,America
HG01054,America
HG01063,America
HG01097,America
HG01205,America
HG01250,America
HG01272,America
HG01365,America
HG01369,America
HG01383,America
HG01392,America
HG01468,America
HG01976,America
HG02006,America
HG02105,America
HG02286,America
NA19670,America
NA19734,America
NA19746,America
NA19752,America
HG00437,East Asia
HG00457,East Asia
HG00581,East Asia
HG00613,East Asia
HG00671,East Asia
HG01807,East Asia
HG01816,East Asia
HG01841,East Asia
HG01863,East Asia
HG02061,East Asia
HG02139,East Asia
HG02181,East Asia
HG02379,East Asia
NA18559,East Asia
NA18639,East Asia
NA18954,East Asia
NA18974,East Asia
NA19064,East Asia
NA19066,East Asia
NA19079,East Asia
HG02649,South Asia
HG03491,South Asia
HG03595,South Asia
HG03652,South Asia
HG03684,South Asia
HG03733,South Asia
HG03780,South Asia
HG03787,South Asia
HG03792,South Asia
HG03830,South Asia
HG03848,South Asia
HG03868,South Asia
HG03885,South Asia
HG03953,South Asia
HG03965,South Asia
HG04003,South Asia
HG04093,South Asia
HG04238,South Asia
NA21093,South Asia
NA21101,South Asia
